Comment,Designator,Footprint,LCSC
SY7200AABC,"U3,U4,U5,U6",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C107309
10,"R28,R29,R30,R31,R32,R4,R5,R6,R7",R_0805_2012Metric,C17415
HL-AM-2835D1W-S1-08-HR3_C210320,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED-SMD_L3.3-W2.8-RD,C210320
1,"R16,R26,R27,R8,R9",R_0805_2012Metric,C25271
15k,R11,R_0402_1005Metric,C25756
47k,"R10,R17",R_0402_1005Metric,C25792
4k7,"R1,R12,R13,R18,R2,R20,R21,R3",R_0402_1005Metric,C25900
5k1,"R14,R15",R_0402_1005Metric,C25905
USB_C_Receptacle_USB2.0_14P,J2,USB-C_SMD-TYPE-C-31-M-12,C2927038
ESP32-C3-WROOM-02,U1,ESP32-C3-WROOM-02,C2934560
4u7,"C17,C20,C22,C24",C_1206_3216Metric,C29823
47k,TH1,R_0402_1005Metric,C2991699
100n,"C1,C13,C16,C19,C21,C23,C25,C3,C4,C5,C7,C8",C_0402_1005Metric,C307331
Reset,"SW1,SW2",SW_SPST_TL3342,C318884
RY8310,U7,SOT-23-6,C370876
22u,"C10,C11,C12,C18,C2,C6,C9",C_0805_2012Metric,C45783
10u,"L1,L10,L7,L8,L9",IND-SMD_L2.5-W2.0,C5832376
LED_RGB,"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,D23,D4,D9",LED-SMD_6P-L5.0-W5.0-BL_TC5053RGBE60,C784542
SS34,"D24,D25,D5,D6,D7,D8",D_SMA,C8678
