Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,121.0038,-112.3696,-90.0,top
C10,22u,C_0805_2012Metric,146.558,-41.275,0.0,top
C11,22u,C_0805_2012Metric,158.877,-139.7,-90.0,top
C12,22u,C_0805_2012Metric,144.399,-141.097,-90.0,top
C16,100n,C_0402_1005Metric,122.682,-77.724,90.0,top
C17,4u7,C_1206_3216Metric,153.3652,-47.625,90.0,top
C18,22u,C_0805_2012Metric,149.479,-77.089,90.0,top
C19,100n,C_0402_1005Metric,168.4566,-132.4157,-90.0,top
C2,22u,C_0805_2012Metric,118.364,-113.411,180.0,top
C20,4u7,C_1206_3216Metric,164.2148,-138.3847,0.0,top
C21,100n,C_0402_1005Metric,156.798,-139.0548,-90.0,top
C22,4u7,C_1206_3216Metric,152.556201,-145.0238,0.0,top
C23,100n,C_0402_1005Metric,142.066,-140.5788,-90.0,top
C24,4u7,C_1206_3216Metric,137.824201,-146.5478,0.0,top
C25,100n,C_0402_1005Metric,147.828,-77.597,90.0,top
C3,100n,C_0402_1005Metric,146.1247,-43.473,0.0,top
C4,100n,C_0402_1005Metric,118.3622,-108.331,0.0,top
C5,100n,C_0402_1005Metric,123.6708,-108.1786,90.0,top
C6,22u,C_0805_2012Metric,123.2898,-111.4806,-90.0,top
C7,100n,C_0402_1005Metric,145.795,-75.63,90.0,top
C8,100n,C_0402_1005Metric,145.669,-67.084,90.0,top
C9,22u,C_0805_2012Metric,170.561,-132.969,-90.0,top
D10,LED_RGB,LED-SMD_6P-L5.0-W5.0-BL_TC5053RGBE60,88.658059,-48.018059,-135.0,top
D11,LED_RGB,LED-SMD_6P-L5.0-W5.0-BL_TC5053RGBE60,74.56783,-69.105577,-112.5,top
D12,LED_RGB,LED-SMD_6P-L5.0-W5.0-BL_TC5053RGBE60,69.62,-93.98,-90.0,top
D13,LED_RGB,LED-SMD_6P-L5.0-W5.0-BL_TC5053RGBE60,74.56783,-118.854423,-67.5,top
D14,LED_RGB,LED-SMD_6P-L5.0-W5.0-BL_TC5053RGBE60,88.658059,-139.941941,-45.0,top
